code,description
22,"UNUSUAL PROCEDURAL SERVICES: WHEN THE SERVICE(S) PROVIDED IS GREATER THAN THAT USUALLY REQUIRED FOR THE LISTED PROCEDURE, IT MAY BE IDENTIFIED BY ADDING MODIFIER -22 TO THE USUAL PROCEDURE NUMBER OR BY USE OF THE SEPARATE FIVE DIGIT MODIFIER CODE 09922. A REPORT MAY ALSO BE APPROPRIATE."
23,"UNUSUAL ANESTHESIA: OCCASIONALLY, A PROCEDURE, WHICH USUALLY REQUIRES EITHER NO ANESTHESIA OR LOCAL ANESTHESIA, BECAUSE OF UNUSUAL CIRCUMSTANCES MUST BE DONE UNDER GENERAL ANESTHESIA. THIS CIRCUMSTANCE MAY BE REPORTED BY ADDING THE MODIFIER -23 TO THE PROCEDURE CODE OF THE BASIC SERVICE OR BY USE OF THE SEPARATE FIVE DIGIT MODIFIER CODE 09923."
24,"UNRELATED EVALUATION AND MANAGEMENT SERVICE BY THE SAME PHYSICIAN DURING A POSTOPERATIVE PERIOD: THE PHYSICIAN MAY NEED TO INDICATE THAT AN EVALUATION AND MANAGEMENT SERVICE WAS PERFORMED DURING A POSTOPERATIVE PERIOD FOR A REASON(S) UNRELATED TO THE ORIGINAL PROCEDURE. THIS CIRCUMSTANCE MAY BE REPORTED BY ADDING THE MODIFIER -24 TO THE APPROPRIATE LEVEL OF E/M SERVICE, OR THE SEPARATE FIVE DIGIT MODIFIER 09924 MAY BE USED."
25,"SIGNIFICANT, SEPARATELY IDENTIFIABLE EVALUATION AND MANAGEMENT SERVICE BY THE SAME PHYSICIAN ON THE SAME DAY OF THE PROCEDURE OR OTHER SERVICE: THE PHYSICIAN MAY NEED TO INDICATE THAT ON THE DAY A PROCEDURE OR SERVICE IDENTIFIED BY A CPTCODE WAS PERFORMED, THE PATIENT'S CONDITION REQUIRED A SIGNIFICANT, SEPARATELY IDENTIFIABLE E/M SERVICE ABOVE AND BEYOND THE OTHER SERVICE PROVIDED OR BEYOND THE USUAL PREOPERATIVE AND POSTOPERATIVE CARE ASSOCIATED WITH THE PROCEDURE THAT WAS PERFORMED. THE E/M SERVICE MAY BE PROMPTED BY THE SYMPTOM OR CONDITION FOR WHICH THE PROCEDURE AND/OR SERVICE WAS PROVIDED. AS SUCH, DIFFERENT DIAGNOSES ARE NOT REQUIRED FOR REPORTING OF THE E/M SERVICES ON THE SAME DATE. THIS CIRCUMSTANCE MAY BE REPORTED BY ADDING THE MODIFIER -25 TO THE APPROPRIATE LEVEL OF E/M SERVICE, OR THE SEPARATE FIVE DIGIT MODIFIER 09925 MAY BE USED. NOTE: THIS MODIFIER IS NOT USED TO REPORT AN E/M SERVICE THAT RESULTED IN A DECISION TO PERFORM SURGERY. SEE MODIFIER -57."
26,"PROFESSIONAL COMPONENT: CERTAIN PROCEDURES ARE A COMBINATION OF A PHYSICIAN COMPONENT AND A TECHNICAL COMPONENT. WHEN THE PHYSICIAN COMPONENT IS REPORTED SEPARATELY, THE SERVICE MAY BE IDENTIFIED BY ADDING THE MODIFIER -26 TO THE USUAL PROCEDURE NUMBER OR THE SERVICE MAY BE REPORTED BY USE OF THE FIVE DIGIT MODIFIER CODE 09926."
27,MULTIPLE OUTPATIENT HOSPITAL E/M ENCOUNTERS ON THE SAME DATE
32,"MANDATED SERVICES: SERVICES RELATED TO MANDATED CONSULTATION AND/OR RELATED SERVICES (EG, PRO, THIRD PARTY PAYER, GOVERNMENTAL, LEGISLATIVE OR REGULATORY REQUIREMENT) MAY BE IDENTIFIED BY ADDING THE MODIFIER '-32' TO THE BASIC PROCEDURE OR THE SERVICE MAY BE REPORTED BY USE OF THE FIVE DIGIT MODIFIER 09932."
33,"PREVENTIVE SERVICES:  WHEN THE PRIMARY PURPOSE OF THE SERVICE IS THE DELIVERY OF AN EVIDENCE BASED SERVICE IN ACCORDANCE WITH A US PREVENTIVE SERVICES TASK FORCE A OR B RATING IN EFFECT AND OTHER PREVENTIVE SERVICES IDENTIFIED IN PREVENTIVE SERVICES MANDATES (LEGISLATIVE OR REGULATORY), THE SERVICE MAY BE IDENTIFIED BY ADDING 33 TO THE PROCEDURE, FOR SEPARATELY REPORTED SERVICES SPECIFICALLY IDENTIFIED AS PREVENTIVE, THE MODIFIER SHOULD NOT BE USED"
47,ANESTHESIA BY SURGEON: REGIONAL OR GENERAL ANESTHESIA PROVIDED BY THE SURGEON MAY BE REPORTED BY ADDING THE MODIFIER -47 TO THE BASIC SERVICE OR BY USE OF THE SEPARATE FIVE DIGIT MODIFIER CODE 09947. (THIS DOES NOT INCLUDE LOCAL ANESTHESIA.) NOTE: MODIFIER -47 OR 09947 WOULD NOT BE USED AS A MODIFIER FOR THE ANESTHESIA PROCEDURES 00100-01999.
50,"BILATERAL PROCEDURE: UNLESS OTHERWISE IDENTIFIED IN THE LISTINGS, BILATERAL PROCEDURES THAT ARE PERFORMED AT THE SAME OPERATIVE SESSION SHOULD BE IDENTIFIED BY ADDING THE MODIFIER -50 TO THE APPROPRIATE FIVE DIGIT CODE OR BY USE OF THE SEPARATE FIVE DIGIT MODIFIER CODE 09950"
51,"MULTIPLE PROCEDURES: WHEN MULTIPLE PROCEDURES, OTHER THAN EVALUATION AND MANAGEMENT SERVICES, ARE PERFORMED AT THE SAME SESSION BY THE SAME PROVIDER, THE PRIMARY PROCEDURE OR SERVICE MAY BE REPORTED AS LISTED. THE ADDITIONAL PROCEDURE(S) OR SERVICE(S) MAY BE IDENTIFIED BY APPENDING THE MODIFIER -51 TO THE ADDITIONAL PROCEDURE OR SERVICE CODE(S) OR BY THE USE OF THE SEPARATE FIVE DIGIT MODIFIER 09951. NOTE: THIS MODIFIER SHOULD NOT BE APPENDED TO DESIGNATED ''ADD-ON'' CODES (SEE APPENDIX E)."
52,"REDUCED SERVICES: UNDER CERTAIN CIRCUMSTANCES A SERVICE OR PROCEDURE IS PARTIALLY REDUCED OR ELIMINATED AT THE PHYSICIAN'S DISCRETION. UNDER THESE CIRCUMSTANCES THE SERVICE PROVIDED CAN BE IDENTIFIED BY ITS USUAL PROCEDURE NUMBER AND THE ADDITION OF THE MODIFIER -52, SIGNIFYING THAT THE SERVICE IS REDUCED. THIS PROVIDES A MEANS OF REPORTING REDUCED SERVICES WITHOUT DISTURBING THE IDENTIFICATION OF THE BASIC SERVICE. MODIFIER CODE 09952 MAY BE USED AS AN ALTERNATIVE TO MODIFIER -52. NOTE: FOR HOSPITAL OUTPATIENT REPORTING OF A PREVIOUSLY SCHEDULED PROCEDURE/SERVICE THAT IS PARTIALLY REDUCED OR CANCELLED AS A RESULT OF EXTENUATING CIRCUMSTANCES OR THOSE THAT THREATEN THE WELL-BEING OF THE PATIENT PRIOR TO OR AFTER ADMINISTRATION OF ANESTHESIA, SEE MODIFIERS -73 AND -74 (SEE MODIFIERS APPROVED FOR ASC HOSPITAL OUTPATIENT USE)."
53,"DISCONTINUED PROCEDURE: UNDER CERTAIN CIRCUMSTANCES, THE PHYSICIAN MAY ELECT TO TERMINATE A SURGICAL OR DIAGNOSTIC PROCEDURE. DUE TO EXTENUATING CIRCUMSTANCES OR THOSE THAT THREATEN THE WELL BEING OF THE PATIENT, IT MAY BE NECESSARY TO INDICATE THAT A SURGICAL OR DIAGNOSTIC PROCEDURE WAS STARTED BUT DISCONTINUED. THIS CIRCUMSTANCE MAY BE REPORTED BY ADDING THE MODIFIER -53 TO THE CODE REPORTED BY THE PHYSICIAN FOR THE DISCONTINUED PROCEDURE OR BY USE OF THE SEPARATE FIVE DIGIT MODIFIER CODE 09953. NOTE: THIS MODIFIER IS NOT USED TO REPORT THE ELECTIVE CANCELLATION OF A PROCEDURE PRIOR TO THE PATIENT'S ANESTHESIA INDUCTION AND/OR SURGICAL PREPARATION IN THE OPERATING SUITE. FOR OUTPATIENT HOSPITAL/AMBULATORY SURGERY CENTER (ASC) REPORTING OF A PREVIOUSLY SCHEDULED PROCEDURE/SERVICE THAT IS PARTIALLY REDUCED OR CANCELLED AS A RESULT OF EXTENUATING CIRCUMSTANCES OR THOSE THAT THREATEN THE WELL BEING OF THE PATIENT PRIOR TO OR AFTER ADMINISTRATION OF ANESTHESIA, SEE MODIFIERS -73 AND -74 (SEE MODIFIERS APPROVED FOR ASC HOSPITAL OUTPATIENT USE)."
54,"SURGICAL CARE ONLY: WHEN ONE PHYSICIAN PERFORMS A SURGICAL PROCEDURE AND ANOTHER PROVIDES PREOPERATIVE AND/OR POSTOPERATIVE MANAGEMENT, SURGICAL SERVICES MAY BE IDENTIFIED BY ADDING THE MODIFIER -54 TO THE USUAL PROCEDURE NUMBER OR BY USE OF THE SEPARATE FIVE DIGIT MODIFIER CODE 09954."
55,"POSTOPERATIVE MANAGEMENT ONLY: WHEN ONE PHYSICIAN PERFORMS THE POSTOPERATIVE MANAGEMENT AND ANOTHER PHYSICIAN HAS PERFORMED THE SURGICAL PROCEDURE, THE POSTOPERATIVE COMPONENT MAY BE IDENTIFIED BY ADDING THE MODIFIER -55 TO THE USUAL PROCEDURE NUMBER OR BY USE OF THE SEPARATE FIVE DIGIT MODIFIER CODE 09955."
56,"PREOPERATIVE MANAGEMENT ONLY: WHEN ONE PHYSICIAN PERFORMS THE PREOPERATIVE CARE AND EVALUATION AND ANOTHER PHYSICIAN PERFORMS THE SURGICAL PROCEDURE, THE PREOPERATIVE COMPONENT MAY BE IDENTIFIED BY ADDING THE MODIFIER -56 TO THE USUAL PROCEDURE NUMBER OR BY USE OF THE SEPARATE FIVE DIGIT MODIFIER CODE 09956."
57,"DECISION FOR SURGERY: AN EVALUATION AND MANAGEMENT SERVICE THAT RESULTED IN THE INITIAL DECISION TO PERFORM THE SURGERY, MAY BE IDENTIFIED BY ADDING THE MODIFIER -57 TO THE APPROPRIATE LEVEL OF E/M SERVICE, OR THE SEPARATE FIVE DIGIT MODIFIER 09957 MAY BE USED."
58,"STAGED OR RELATED PROCEDURE OR SERVICE BY THE SAME PHYSICIAN DURING THE POSTOPERATIVE PERIOD: THE PHYSICIAN MAY NEED TO INDICATE THAT THE PERFORMANCE OF A PROCEDURE OR SERVICE DURING THE POSTOPERATIVE PERIOD WAS: A) PLANNED PROSPECTIVELY AT THE TIME OF THE ORIGINAL PROCEDURE (STAGED); B) MORE EXTENSIVE THAN THE ORIGINAL PROCEDURE; OR C) FOR THERAPY FOLLOWING A DIAGNOSTIC SURGICAL PROCEDURE. THIS CIRCUMSTANCE MAY BE REPORTED BY ADDING THE MODIFIER -58 TO THE STAGED OR RELATED PROCEDURE, OR THE SEPARATE FIVE DIGIT MODIFIER 09958 MAY BE USED. NOTE: THIS MODIFIER IS NOT USED TO REPORT THE TREATMENT OF A PROBLEM THAT REQUIRES A RETURN TO THE OPERATING ROOM. SEE MODIFIER -78."
59,"DISTINCT PROCEDURAL SERVICE: UNDER CERTAIN CIRCUMSTANCES, THE PHYSICIAN MAY NEED TO INDICATE THAT A PROCEDURE OR SERVICE WAS DISTINCT OR INDEPENDENT FROM OTHER SERVICES PERFORMED ON THE SAME DAY. MODIFIER -59 IS USED TO IDENTIFY PROCEDURES/SERVICES THAT ARE NOT NORMALLY REPORTED TOGETHER, BUT ARE APPROPRIATE UNDER THE CIRCUMSTANCES. THIS MAY REPRESENT A DIFFERENT SESSION OR PATIENT ENCOUNTER, DIFFERENT PROCEDURE OR SURGERY, DIFFERNET SITE OR ORGAN SYSTEM, SEPARATE INCISION/EXCISION, SEPARATE LESION, OR SEPARATE INJURY (OR AREA OF INJURY IN EXTENSIVE INJURIES) NOT ORDINARILY ENCOUNTERED OR PERFORMED ON THE SAME DAY BY THE SAME PHYSICIAN. HOWEVER, WHAN ANOTHER ALREADY ESTABLISHED MODIFIER IS APPROPRIATE IT SHOULD BE USED RATHER THAN MODIFIER -59. ONLY IF NO MORE DESCRIPTIVE MODIFIER IS AVAILABLE, AND THE USE OF MODIFIER -59 BEST EXPLAINS THE CIRCUMSTANCES, SHOULD MODIFIER -59 BE USED. MODIFIER CODE 09959 MAY BE USED AS AN ALTERNATE TO MODIFIER -59."
62,"TWO SURGEONS:WHEN TWO SURGEONS WORK TOGETHER AS PRIMARY SURGEONS PERFORMING DISTINCT PART(S) OF A SINGLE REPORTABLE PROCEDURE, EACH SURGEON SHOULD REPORT HIS/HER DISTINCT OPERATIVE WORK BY ADDING THE MODIFIER -62 TO THE SINGLE DEFINITIVE PROCEDURE CODE. EACH SURGEON SHOULD REPORT THE CO-SURGERY ONCE USING THE SAME PROCEDURE CODE. IF ADDITIONAL PROCEDURE(S) (INCLUDING ADD-ON PROCEDURE(S)) ARE PERFORMED DURING THE SAME SURGICAL SESSION, SEPARATE CODE(S) MAY BE REPORTED WITHOUT THE MODIFIER -62 ADDED. MODIFIER CODE 09962 MAY BE USED AS AN ALTERNATIVE TO MODIFIER -62. NOTE: IF A CO-SURGEON ACTS AS AN ASSISTANT IN THE PERFORMANCE OF ADDITIONAL PROCEDURE(S) DURING THE SAME SURGICAL SESSION, THOSE SERVICES MAY BE REPORTED USING SEPARATE PROCEDURE CODE(S) WITH THE MODIFIER -80 OR MODIFIER -81 ADDED, AS APPROPRIATE."
63,PROCEDURE PERFORMED ON INFANTS LESS THAN 4 KG
66,"SURGICAL TEAM: UNDER SOME CIRCUMSTANCES, HIGHLY COMPLEX PROCEDURES (REQUIRING THE CONCOMITANT SERVICES OF SEVERAL PHYSICIANS, OFTEN OF DIFFERENT SPECIALTIES, PLUS OTHER HIGHLY SKILLED, SPECIALLY TRAINED PERSONNEL, VARIOUS TYPES OF COMPLEX EQUIPMENT) ARE CARRIED OUT UNDER THE ''SURGICAL TEAM'' CONCEPT. SUCH CIRCUMSTANCES MAY BE IDENTIFIED BY EACH PARTICIPATING PHYSICIAN WITH THE ADDITION OF THE MODIFIER -66 TO THE BASIC PROCEDURE NUMBER USED FOR REPORTING SERVICES. MODIFIER CODE 09966 MAY BE USED AS AN ALTERNATIVE TO MODIFIER -66."
73,"DISCONTINUED OUT-PATIENT HOSPITAL/AMBULATORY SURGERY CENTER (ASC) PROCEDURE PRIOR TO THE ADMINISTRATION OF ANESTHESIA: DUE TO EXTENUATING CIRCUMSTANCES OR THOSE THAT THREATEN THE WELL BEING OF THE PATIENT, THE PHYSICIAN MAY CANCEL A SURGICAL OR DIAGNOSTIC PROCEDURE SUBSEQUENT TO THE PATIENT'S SURGICAL PREPARATION (INCLUDING SEDATION WHEN PROVIDED, AND BEING TAKEN TO THE ROOM WHERE THE PROCEDURE IS TO BE PERFORMED), BUT PRIOR TO THE ADMINISTRATION OF ANESTHESIA (LOCAL, REGIONAL BLOCK(S) OR GENERAL). UNDER THESE CIRCUMSTANCES, THE INTENDED SERVICE THAT IS PREPARED FOR BUT CANCELLED CAN BE REPORTED BY ITS USUAL PROCEDURE NUMBER AND THE ADDITION OF THE MODIFIER -73 OR BY USE OF THE SEPARATE FIVE DIGIT MODIFIER CODE 09973. NOTE: THE ELECTIVE CANCELLATION OF A SERVICE PRIOR TO THE ADMINISTRATION OF ANESTHESIA AND/OR SURGICAL PREPARATION OF THE PATIENT SHOULD NOT BE REPORTED. FOR PHYSICIAN REPORTING OF A DISCONTINUED PROCEDURE, SEE MODIFIER -53."
74,"DISCONTINUED OUT-PATIENT HOSPITAL/AMBULATORY SURGERY CENTER (ASC) PROCEDURE AFTER ADMINISTRATION OF ANESTHESIA: DUE TO EXTENUATING CIRCUMSTANCES OR THOSE THAT THREATEN THE WELL BEING OF THE PATIENT, THE PHYSICIAN MAY TERMINATE A SURGICAL OR DIAGNOSTIC PROCEDURE AFTER THE ADMINISTRATION OF ANESTHESIA (LOCAL, REGIONAL BLOCK(S), GENERAL) OR AFTER THE PROCEDURE WAS STARTED (INCISION MADE, INTUBATION STARTED, SCOPE INSERTED, ETC). UNDER THESE CIRCUMSTANCES, THE PROCEDURE STARTED BUT TERMINATED CAN BE REPORTED BY ITS USUAL PROCEDURE NUMBER AND THE ADDITION OF THE MODIFIER -74 OR BY USE OF THE SEPARATE FIVE DIGIT MODIFIER CODE 09974. NOTE: THE ELECTIVE CANCELLATION OF A SERVICE PRIOR TO THE ADMINISTRATION OF ANESTHESIA AND/OR SURGICAL PREPARATION OF THE PATIENT SHOULD NOT BE REPORTED. FOR PHYSICIAN REPORTING OF A DISCONTINUED PROCEDURE, SEE MODIFIER -53."
76,REPEAT PROCEDURE BY SAME PHYSICIAN: THE PHYSICIAN MAY NEED TO INDICATE THAT A PROCEDURE OR SERVICE WAS REPEATED SUBSEQUENT TO THE ORIGINAL PROCEDURE OR SERVICE. THIS CIRCUMSTANCE MAY BE REPORTED BY ADDING THE MODIFIER -76 TO THE REPEATED PROCEDURE OR SERVICE OR THE SEPARATE FIVE DIGIT MODIFIER CODE 09976 MAY BE USED.
77,REPEAT PROCEDURE BY ANOTHER PHYSICIAN: THE PHYSICIAN MAY NEED TO INDICATE THAT A BASIC PROCEDURE OR SERVICE PERFORMED BY ANOTHER PHYSICIAN HAD TO BE REPEATED. THIS SITUATION MAY BE REPORTED BY ADDING MODIFIER -77 TO THE REPEATED PROCEDURE/SERVICE OR THE SEPARATE FIVE DIGIT MODIFIER CODE 09977 MAY BE USED.
78,"RETURN TO THE OPERATING ROOM FOR A RELATED PROCEDURE DURING THE POSTOPERATIVE PERIOD: THE PHYSICIAN MAY NEED TO INDICATE THAT ANOTHER PROCEDURE WAS PERFORMED DURING THE POSTOPERATIVE PERIOD OF THE INITIAL PROCEDURE. WHEN THIS SUBSEQUENT PROCEDURE IS RELATED TO THE FIRST, AND REQUIRES THE USE OF THE OPERATING ROOM, IT MAY BE REPORTED BY ADDING THE MODIFIER -78 TO THE RELATED PROCEDURE, OR BY USING THE SEPARATE FIVE DIGIT MODIFIER 09978. (FOR REPEAT PROCEDURES ON THE SAME DAY, SEE -76)."
79,"UNRELATED PROCEDURE OR SERVICE BY THE SAME PHYSICIAN DURING THE POSTOPERATIVE PERIOD: THE PHYSICIAN MAY NEED TO INDICATE THAT THE PERFORMANCE OF A PROCEDURE OR SERVICE DURING THE POSTOPERATIVE PERIOD WAS UNRELATED TO THE ORIGINAL PROCEDURE. THIS CIRCUMSTANCE MAY BE REPORTED BY USING THE MODIFIER -79 OR BY USING THE SEPARATE FIVE DIGIT MODIFIER 09979. (FOR REPEAT PROCEDURES ON THE SAME DAY, SEE -76)."
80,ASSISTANT SURGEON: SURGICAL ASSISTANT SERVICES MAY BE IDENTIFIED BY ADDING THE MODIFIER -80 TO THE USUAL PROCEDURE NUMBER(S) OR BY USE OF THE SEPARATE FIVE DIGIT MODIFIER CODE 09980.
81,MINIMUM ASSISTANT SURGEON: MINIMUM SURGICAL ASSISTANT SERVICES ARE IDENTIFIED BY ADDING THE MODIFIER -81 TO THE USUAL PROCEDURE NUMBER OR BY USE OF THE SEPARATE FIVE DIGIT MODIFIER CODE 09981.
82,ASSISTANT SURGEON (WHEN QUALIFIED RESIDENT SURGEON NOT AVAILABLE): THE UNAVAILABILITY OF A QUALIFIED RESIDENT SURGEON IS A PREREQUISITE FOR USE OF MODIFIER -82 APPENDED TO THE USUAL PROCEDURE CODE NUMBER(S) OR BY USE OF THE SEPARATE FIVE DIGIT MODIFIER CODE 09982.
8P,"PERFORMANCE MEASURE REPORTING MODIFIER - ACTION NOT PERFORMED, REASON NOT OTHERWISE SPECIFIED"
90,"REFERENCE (OUTSIDE) LABORATORY: WHEN LABORATORY PROCEDURES ARE PERFORMED BY A PARTY OTHER THAN THE TREATING OR REPORTING PHYSICIAN, THE PROCEDURE MAY BE IDENTIFIED BY ADDING THE MODIFIER -90 TO THE USUAL PROCEDURE NUMBER OR BY USE OF THE SEPARATE FIVE DIGIT MODIFIER CODE 09990."
91,"REPEAT CLINICAL DIAGNOSTIC LABORATORY TEST: IN THE COURSE OF TREATMENT OF THE PATIENT, IT MAY BE NECESSARY TO REPEAT THE SAME LABORATORY TEST ON THE SAME DAY TO OBTAIN SUBSEQUENT (MULTIPLE) TEST RESULTS.  UNDER THESE CIRCUMSTANCES, THE LABORATORY TEST PERFORMED CAN BE IDENTIFIED BY ITS USUAL PROCEDURE NUMBER AND THE ADDITION OF THE MODIFIER '-91'.  NOTE: THIS MODIFIER MAY NOT BE USED WHEN TESTS ARE RERUN TO CONFIRM INITIAL RESULTS; DUE TO TESTING PROBLEMS WITH SPECIMENS OR EQUIPMENT; OR FOR ANY OTHER REASON WHEN A NORMAL, ONE-TIME, REPORTABLE RESULT IS ALL THAT IS REQUIRED.  THIS MODIFIER MAY NOT BE USED WHEN OTHER CODE(S) DESCRIBE A SERIES OF TEST RESULTS (E.G., GLUCOSE TOLERANCE TESTS, EVOCATIVE/SUPPRESSION TESTING).  THIS MODIFIER MAY ONLY BE USED FOR LABORATORY TEST(S) PERFORMED MORE THAN ONCE ON THE SAME DAY ON THE SAME PATIENT."
92,"ALTERNATIVE LABORATORY PLATFORM TESTING: WHEN LABORATORY TESTING IS BEING PERFORMED USING A KIT OR TRANSPORTABLE INSTRUMENT THAT WHOLLY OR IN PART CONSISTS OF A SINGLE USE,   DISPOSABLE ANALYTICAL CHAMBER, THE SERVICE MAY BE IDENTIFIED BY ADDING MODIFIER 92 TO THE USUAL LABORATORY PROCEDURE CODE (HIV TESTING 86701-86703, AND 87389). THE TEST DOES   NOT REQUIRE PERMANENT DEDICATED SPACE, HENCE BY ITS DESIGN MAY BE HAND CARRIED OR TRANSPORTED TO THE VICINITY OF THE PATIENT FOR IMMEDIATE TESTING AT THAT SITE, ALTHOUGH LOCATION OF THE TESTING IS NOT IN ITSELF DETERMINATIVE OF THE USE OF THIS MODIFIER."
