code,description
93,SYNCHRONOUS TELEMEDICINE SERVICE RENDERED VIA TELEPHONE OR OTHER REAL-TIME INTERACTIVE AUDIO-ONLY TELECOMMUNICATIONS SYSTEM: SYNCHRONOUS TELEMEDICINE SERVICE IS DEFINED AS A REAL-TIME INTERACTION BETWEEN A PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL AND A PATIENT WHO IS LOCATED AWAY AT A DISTANT SITE FROM THE PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL. THE TOTALITY OF THE COMMUNICATION OF INFORMATION EXCHANGED BETWEEN THE PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL AND THE PATIENT DURING THE COURSE OF THE SYNCHRONOUS TELEMEDICINE SERVICE MUST BE OF AN AMOUNT AND NATURE THAT IS SUFFICIENT TO MEET THE KEY COMPONENTS AND/OR REQUIREMENTS OF THE SAME SERVICE WHEN RENDERED VIA A FACE-TO-FACE INTERACTION
95,"SYNCHRONOUS TELEMEDICINE SERVICE RENDERED VIA A REAL-TIME INTERACTIVE AUDIO AND VIDEO TELECOMMUNICATIONS SYSTEM: SYNCHRONOUS TELEMEDICINE SERVICE IS DEFINED AS A REAL-TIME INTERACTION BETWEEN A PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL AND A PATIENT WHO IS LOCATED AT A DISTANT SITE FROM THE PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL. THE TOTALITY OF THE COMMUNICATION OF INFORMATION EXCHANGED BETWEEN THE PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL AND THE PATIENT DURING THE COURSE OF THE SYNCHRONOUS TELEMEDICINE SERVICE MUST BE OF AN AMOUNT AND NATURE THAT WOULD BE SUFFICIENT TO MEET THE KEY COMPONENTS AND/OR REQUIREMENTS OF THE SAME SERVICE WHEN RENDERED VIA A FACE-TO-FACE INTERACTION. MODIFIER 95 MAY ONLY BE APPENDED TO THE SERVICES LISTED IN APPENDIX P. APPENDIX P IS THE LIST OF CPT CODES FOR SERVICES THAT ARE TYPICALLY PERFORMED FACE-TO-FACE, BUT MAY BE RENDERED VIA A REAL-TIME (SYNCHRONOUS) INTERACTIVE AUDIO AND VIDEO TELECOMMUNICATIONS SYSTEM"
96,"HABILITATIVE SERVICES: WHEN A SERVICE OR PROCEDURE THAT MAY BE EITHER HABILITATIVE OR REHABILITATIVE IN NATURE IS PROVIDED FOR HABILITATIVE PURPOSES, THE PHYSICIAN OR OTHER  QUALIFIED HEALTH CARE PROFESSIONAL MAY ADD MODIFIER 96 TO THE SERVICE OR PROCEDURE CODE TO INDICATE THAT THE SERVICE OR PROCEDURE PROVIDED WAS A HABILITATIVE SERVICE.   HABILITATIVE SERVICES HELP AN INDIVIDUAL LEARN SKILLS AND FUNCTIONING FOR DAILY LIVING THAT THE INDIVIDUAL HAS NOT YET DEVELOPED, AND THEN KEEP AND/OR IMPROVE THOSE LEARNED SKILLS. HABILITATIVE SERVICES ALSO HELP AN INDIVIDUAL KEEP, LEARN, OR IMPROVE SKILLS  AND FUNCTIONING FOR DAILY LIVING"
97,"REHABILITATIVE SERVICES: WHEN A SERVICE OR PROCEDURE THAT MAY BE EITHER HABILITATIVE OR REHABILITATIVE IN NATURE IS PROVIDED FOR REHABILITATIVE PURPOSES, THE PHYSICIAN OR OTHER  QUALIFIED HEALTH CARE PROFESSIONAL MAY ADD MODIFIER 97 TO THE SERVICE OR PROCEDURE CODE TO INDICATE THAT THE SERVICE OR PROCEDURE PROVIDED WAS A REHABILITATIVE SERVICE.  REHABILITATIVE SERVICES HELP AN INDIVIDUAL KEEP, GET BACK, OR IMPROVE SKILLS AND FUNCTIONING FOR DAILY LIVING THAT HAVE BEEN LOST OR IMPAIRED BECAUSE THE INDIVIDUAL WAS SICK, HURT, OR DISABLED"
99,"MULTIPLE MODIFIERS: UNDER CERTAIN CIRCUMSTANCES TWO OR MORE MODIFIERS MAY BE NECESSARY TO COMPLETELY DELINEATE A SERVICE. IN SUCH SITUATIONS MODIFIER -99 SHOULD BE ADDED TO THE BASIC PROCEDURE, AND OTHER APPLICABLE MODIFIERS MAY BE LISTED AS PART OF THE DESCRIPTION OF THE SERVICE. MODIFIER CODE 09999 MAY BE USED AS AN ALTERNATIVE TO MODIFIER -99."
A1,DRESSING FOR ONE WOUND
A2,DRESSING FOR TWO WOUNDS
A3,DRESSING FOR THREE WOUNDS
A4,DRESSING FOR FOUR WOUNDS
A5,DRESSING FOR FIVE WOUNDS
A6,DRESSING FOR SIX WOUNDS
A7,DRESSING FOR SEVEN WOUNDS
A8,DRESSING FOR EIGHT WOUNDS
A9,DRESSING FOR NINE OR MORE WOUNDS
AA,ANESTHESIA SERVICES PERFORMED PERSONALLY BY ANESTHESIOLOGIST
AB,"AUDIOLOGY SERVICE FURNISHED PERSONALLY BY AN AUDIOLOGIST WITHOUT A PHYSICIAN/NPP ORDER FOR NON-ACUTE HEARING ASSESSMENT UNRELATED TO DISEQUILIBRIUM, OR HEARING AIDS, OR EXAMINATIONS FOR THE PURPOSE OF PRESCRIBING, FITTING, OR CHANGING HEARING AIDS; SERVICE MAY BE PERFORMED ONCE EVERY 12 MONTHS, PER BENEFICIARY"
AD,MEDICAL SUPERVISION BY A PHYSICIAN: MORE THAN FOUR CONCURRENT ANESTHESIA PROCEDURES
AE,REGISTERED DIETICIAN
AF,SPECIALTY PHYSICIAN
AG,PRIMARY PHYSICIAN
AH,CLINICAL PSYCHOLOGIST
AI,PRINCIPAL PHYSICIAN OF RECORD
AJ,CLINICAL SOCIAL WORKER
AK,NON PARTICIPATING PHYSICIAN
AM,"PHYSICIAN, TEAM MEMBER SERVICE"
AO,ALTERNATE PAYMENT METHOD DECLINED BY PROVIDER OF SERVICE
AP,DETERMINATION OF REFRACTIVE STATE WAS NOT PERFORMED IN THE COURSE OF DIAGNOSTIC OPHTHALMOLOGICAL EXAMINATION
AQ,PHYSICIAN PROVIDING A SERVICE IN AN UNLISTED HEALTH PROFESSIONAL SHORTAGE AREA (HPSA)
AR,PHYSICIAN PROVIDER SERVICES IN A PHYSICIAN SCARCITY AREA
AS,"PHYSICIAN ASSISTANT, NURSE PRACTITIONER, OR CLINICAL NURSE SPECIALIST SERVICES FOR ASSISTANT AT SURGERY"
AT,"ACUTE TREATMENT (THIS MODIFIER SHOULD BE USED WHEN REPORTING SERVICE 98940, 98941, 98942)"
AU,"ITEM FURNISHED IN CONJUNCTION WITH A UROLOGICAL, OSTOMY, OR TRACHEOSTOMY SUPPLY"
AV,"ITEM FURNISHED IN CONJUNCTION WITH A PROSTHETIC DEVICE, PROSTHETIC OR ORTHOTIC"
AW,ITEM FURNISHED IN CONJUNCTION WITH A SURGICAL DRESSING
AX,ITEM FURNISHED IN CONJUNCTION WITH DIALYSIS SERVICES
AY,ITEM OR SERVICE FURNISHED TO AN ESRD PATIENT THAT IS NOT FOR THE TREATMENT OF ESRD
AZ,PHYSICIAN PROVIDING A SERVICE IN A DENTAL HEALTH PROFESSIONAL SHORTAGE AREA FOR THE PURPOSE OF AN ELECTRONIC HEALTH RECORD INCENTIVE PAYMENT
BA,ITEM FURNISHED IN CONJUNCTION WITH PARENTERAL ENTERAL NUTRITION (PEN) SERVICES
BL,SPECIAL ACQUISITION OF BLOOD AND BLOOD PRODUCTS
BO,"ORALLY ADMINISTERED NUTRITION, NOT BY FEEDING TUBE"
BP,THE BENEFICIARY HAS BEEN INFORMED OF THE PURCHASE AND RENTAL OPTIONS AND HAS ELECTED TO PURCHASE THE ITEM
BR,THE BENEFICIARY HAS BEEN INFORMED OF THE PURCHASE AND RENTAL OPTIONS AND HAS ELECTED TO RENT THE ITEM
BU,THE BENEFICIARY HAS BEEN INFORMED OF THE PURCHASE AND RENTAL OPTIONS AND AFTER 30 DAYS HAS NOT INFORMED THE SUPPLIER OF HIS/HER DECISION
CA,PROCEDURE PAYABLE ONLY IN THE INPATIENT SETTING WHEN PERFORMED EMERGENTLY ON AN OUTPATIENT WHO EXPIRES PRIOR TO ADMISSION
CB,"SERVICE ORDERED BY A RENAL DIALYSIS FACILITY (RDF) PHYSICIAN AS PART OF THE ESRD BENEFICIARY'S DIALYSIS BENEFIT, IS NOT PART OF THE COMPOSITE RATE, AND IS SEPARATELY REIMBURSABLE"
CC,PROCEDURE CODE CHANGE (USE 'CC' WHEN THE PROCEDURE CODE SUBMITTED WAS CHANGED EITHER FOR ADMINISTRATIVE REASONS OR BECAUSE AN INCORRECT CODE WAS FILED)
CD,AMCC TEST HAS BEEN ORDERED BY AN ESRD FACILITY OR MCP PHYSICIAN THAT IS PART OF THE COMPOSITE RATE AND IS NOT SEPARATELY BILLABLE
CE,AMCC TEST HAS BEEN ORDERED BY AN ESRD FACILITY OR MCP PHYSICIAN THAT IS A COMPOSITE RATE TEST BUT IS BEYOND THE NORMAL FREQUENCY COVERED UNDER THE RATE AND IS SEPARATELY REIMBURSABLE BASED ON MEDICAL NECESSITY
CF,AMCC TEST HAS BEEN ORDERED BY AN ESRD FACILITY OR MCP PHYSICIAN THAT IS NOT PART OF THE COMPOSITE RATE AND IS SEPARATELY BILLABLE
CG,POLICY CRITERIA APPLIED
CH,"0 PERCENT IMPAIRED, LIMITED OR RESTRICTED"
CI,"AT LEAST 1 PERCENT BUT LESS THAN 20 PERCENT IMPAIRED, LIMITED OR RESTRICTED"
CJ,"AT LEAST 20 PERCENT BUT LESS THAN 40 PERCENT IMPAIRED, LIMITED OR RESTRICTED"
CK,"AT LEAST 40 PERCENT BUT LESS THAN 60 PERCENT IMPAIRED, LIMITED OR RESTRICTED"
CL,"AT LEAST 60 PERCENT BUT LESS THAN 80 PERCENT IMPAIRED, LIMITED OR RESTRICTED"
CM,"AT LEAST 80 PERCENT BUT LESS THAN 100 PERCENT IMPAIRED, LIMITED OR RESTRICTED"
CN,"100 PERCENT IMPAIRED, LIMITED OR RESTRICTED"
CO,OUTPATIENT OCCUPATIONAL THERAPY SERVICES FURNISHED IN WHOLE OR IN PART BY AN OCCUPATIONAL THERAPY ASSISTANT
CP,"ADJUNCTIVE SERVICE RELATED TO A PROCEDURE ASSIGNED TO A COMPREHENSIVE AMBULATORY PAYMENT CLASSIFICATION (C-APC) PROCEDURE, BUT REPORTED ON A DIFFERENT CLAIM"
CQ,OUTPATIENT PHYSICAL THERAPY SERVICES FURNISHED IN WHOLE OR IN PART BY A PHYSICAL THERAPIST ASSISTANT
CR,CATASTROPHE/DISASTER RELATED
CS,COST-SHARING WAIVED FOR SPECIFIED COVID-19 TESTING-RELATED SERVICES THAT RESULT IN AND ORDER FOR OR ADMINISTRATION OF A COVID-19 TEST AND/OR USED FOR COST-SHARING WAIVED PREVENTIVE SERVICES FURNISHED VIA TELEHEALTH IN RURAL HEALTH CLINICS AND FEDERALLY QUALIFIED HEALTH CENTERS DURING THE COVID-19 PUBLIC HEALTH EMERGENCY
CT,COMPUTED TOMOGRAPHY SERVICES FURNISHED USING EQUIPMENT THAT DOES NOT MEET EACH OF THE ATTRIBUTES OF THE NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION (NEMA) XR-29-2013 STANDARD
DA,ORAL HEALTH ASSESSMENT BY A LICENSED HEALTH PROFESSIONAL OTHER THAN A DENTIST
E1,"UPPER LEFT, EYELID"
E2,"LOWER LEFT, EYELID"
E3,"UPPER RIGHT, EYELID"
E4,"LOWER RIGHT, EYELID"
EA,ERYTHROPOIETIC STIMULATING AGENT (ESA) ADMINISTERED TO TREAT ANEMIA DUE TO ANTI-CANCER CHEMOTHERAPY
EB,ERYTHROPOIETIC STIMULATING AGENT (ESA) ADMINISTERED TO TREAT ANEMIA DUE TO ANTI-CANCER RADIOTHERAPY
EC,ERYTHROPOIETIC STIMULATING AGENT (ESA) ADMINISTERED TO TREAT ANEMIA NOT DUE TO ANTI-CANCER RADIOTHERAPY OR ANTI-CANCER CHEMOTHERAPY
ED,HEMATOCRIT LEVEL HAS EXCEEDED 39% (OR HEMOGLOBIN LEVEL HAS EXCEEDED 13.0 G/DL) FOR 3 OR MORE CONSECUTIVE BILLING CYCLES IMMEDIATELY PRIOR TO AND INCLUDING THE CURRENT CYCLE
EE,HEMATOCRIT LEVEL HAS NOT EXCEEDED 39% (OR HEMOGLOBIN LEVEL HAS NOT EXCEEDED 13.0 G/DL) FOR 3 OR MORE CONSECUTIVE BILLING CYCLES IMMEDIATELY PRIOR TO AND INCLUDING THE CURRENT CYCLE
EJ,"SUBSEQUENT CLAIMS FOR A DEFINED COURSE OF THERAPY, E.G., EPO, SODIUM HYALURONATE, INFLIXIMAB"
EM,EMERGENCY RESERVE SUPPLY (FOR ESRD BENEFIT ONLY)
EP,SERVICE PROVIDED AS PART OF MEDICAID EARLY PERIODIC SCREENING DIAGNOSIS AND TREATMENT (EPSDT) PROGRAM
ER,"ITEMS AND SERVICES FURNISHED BY A PROVIDER-BASED, OFF-CAMPUS EMERGENCY DEPARTMENT"
ET,EMERGENCY SERVICES
EX,EXPATRIATE BENEFICIARY
EY,NO PHYSICIAN OR OTHER LICENSED HEALTH CARE PROVIDER ORDER FOR THIS ITEM OR SERVICE
F1,"LEFT HAND, SECOND DIGIT"
F2,"LEFT HAND, THIRD DIGIT"
F3,"LEFT HAND, FOURTH DIGIT"
F4,"LEFT HAND, FIFTH DIGIT"
F5,"RIGHT HAND, THUMB"
F6,"RIGHT HAND, SECOND DIGIT"
F7,"RIGHT HAND, THIRD DIGIT"
F8,"RIGHT HAND, FOURTH DIGIT"
F9,"RIGHT HAND, FIFTH DIGIT"
FA,"LEFT HAND, THUMB"
FB,"ITEM PROVIDED WITHOUT COST TO PROVIDER, SUPPLIER OR PRACTITIONER, OR FULL CREDIT RECEIVED FOR REPLACED DEVICE (EXAMPLES, BUT NOT LIMITED TO, COVERED UNDER WARRANTY, REPLACED DUE TO DEFECT, FREE SAMPLES)"
FC,PARTIAL CREDIT RECEIVED FOR REPLACED DEVICE
FP,SERVICE PROVIDED AS PART OF FAMILY PLANNING PROGRAM
FQ,THE SERVICE WAS FURNISHED USING AUDIO-ONLY COMMUNICATION TECHNOLOGY
FR,"THE SUPERVISING PRACTITIONER WAS PRESENT THROUGH TWO-WAY, AUDIO/VIDEO COMMUNICATION TECHNOLOGY"
FS,SPLIT (OR SHARED) EVALUATION AND MANAGEMENT VISIT
FT,"UNRELATED EVALUATION AND MANAGEMENT (E/M) VISIT ON THE SAME DAY AS ANOTHER E/M VISIT OR DURING A GLOBAL PROCEDURE (PREOPERATIVE, POSTOPERATIVE PERIOD, OR ON THE SAME DAY AS THE PROCEDURE, AS APPLICABLE). (REPORT WHEN AN E/M VISIT IS FURNISHED WITHIN THE GLOBAL PERIOD BUT IS UNRELATED, OR WHEN ONE OR MORE ADDITIONAL E/M VISITS FURNISHED ON THE SAME DAY ARE UNRELATED)"
FX,X-RAY TAKEN USING FILM
FY,X-RAY TAKEN USING COMPUTED RADIOGRAPHY TECHNOLOGY/CASSETTE-BASED IMAGING
G0,"TELEHEALTH SERVICES FOR DIAGNOSIS, EVALUATION, OR TREATMENT, OF SYMPTOMS OF AN ACUTE STROKE"
G1,MOST RECENT URR READING OF LESS THAN 60
G2,MOST RECENT URR READING OF 60 TO 64.9
G3,MOST RECENT URR READING OF 65 TO 69.9
G4,MOST RECENT URR READING OF 70 TO 74.9
G5,MOST RECENT URR READING OF 75 OR GREATER
G6,ESRD PATIENT FOR WHOM LESS THAN SIX DIALYSIS SESSIONS HAVE BEEN PROVIDED IN A MONTH
G7,PREGNANCY RESULTED FROM RAPE OR INCEST OR PREGNANCY CERTIFIED BY PHYSICIAN AS LIFE THREATENING
G8,"MONITORED ANESTHESIA CARE (MAC) FOR DEEP COMPLEX, COMPLICATED, OR MARKEDLY INVASIVE SURGICAL PROCEDURE"
G9,MONITORED ANESTHESIA CARE FOR PATIENT WHO HAS HISTORY OF SEVERE CARDIO-PULMONARY CONDITION
GA,"WAIVER OF LIABILITY STATEMENT ISSUED AS REQUIRED BY PAYER POLICY, INDIVIDUAL CASE"
GB,CLAIM BEING RE-SUBMITTED FOR PAYMENT BECAUSE IT IS NO LONGER COVERED UNDER A GLOBAL PAYMENT DEMONSTRATION
GC,THIS SERVICE HAS BEEN PERFORMED IN PART BY A RESIDENT UNDER THE DIRECTION OF A TEACHING PHYSICIAN
GD,UNITS OF SERVICE EXCEEDS MEDICALLY UNLIKELY EDIT VALUE AND REPRESENTS REASONABLE AND NECESSARY SERVICES
GE,THIS SERVICE HAS BEEN PERFORMED BY A RESIDENT WITHOUT THE PRESENCE OF A TEACHING PHYSICIAN UNDER THE PRIMARY CARE EXCEPTION
GF,"NON-PHYSICIAN (E.G. NURSE PRACTITIONER (NP), CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA), CERTIFIED REGISTERED NURSE (CRN), CLINICAL NURSE SPECIALIST (CNS), PHYSICIAN ASSISTANT (PA)) SERVICES IN A CRITICAL ACCESS HOSPITAL"
GG,"PERFORMANCE AND PAYMENT OF A SCREENING MAMMOGRAM AND DIAGNOSTIC MAMMOGRAM ON THE SAME PATIENT, SAME DAY"
GH,DIAGNOSTIC MAMMOGRAM CONVERTED FROM SCREENING MAMMOGRAM ON SAME DAY
GJ,"""OPT OUT"" PHYSICIAN OR PRACTITIONER EMERGENCY OR URGENT SERVICE"
GK,REASONABLE AND NECESSARY ITEM/SERVICE ASSOCIATED WITH A GA OR GZ MODIFIER
GL,"MEDICALLY UNNECESSARY UPGRADE PROVIDED INSTEAD OF NON-UPGRADED ITEM, NO CHARGE, NO ADVANCE BENEFICIARY NOTICE (ABN)"
GM,MULTIPLE PATIENTS ON ONE AMBULANCE TRIP
GN,SERVICES DELIVERED UNDER AN OUTPATIENT SPEECH LANGUAGE PATHOLOGY PLAN OF CARE
GO,SERVICES DELIVERED UNDER AN OUTPATIENT OCCUPATIONAL THERAPY PLAN OF CARE
GP,SERVICES DELIVERED UNDER AN OUTPATIENT PHYSICAL THERAPY PLAN OF CARE
GQ,VIA ASYNCHRONOUS TELECOMMUNICATIONS SYSTEM
GR,"THIS SERVICE WAS PERFORMED IN WHOLE OR IN PART BY A RESIDENT IN A DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER OR CLINIC, SUPERVISED IN ACCORDANCE WITH VA POLICY"
GS,DOSAGE OF ERYTHROPOIETIN STIMULATING AGENT HAS BEEN REDUCED AND MAINTAINED IN RESPONSE TO HEMATOCRIT OR HEMOGLOBIN LEVEL
GT,VIA INTERACTIVE AUDIO AND VIDEO TELECOMMUNICATION SYSTEMS
GU,"WAIVER OF LIABILITY STATEMENT ISSUED AS REQUIRED BY PAYER POLICY, ROUTINE NOTICE"
GV,ATTENDING PHYSICIAN NOT EMPLOYED OR PAID UNDER ARRANGEMENT BY THE PATIENT'S HOSPICE PROVIDER
GW,SERVICE NOT RELATED TO THE HOSPICE PATIENT'S TERMINAL CONDITION
GX,"NOTICE OF LIABILITY ISSUED, VOLUNTARY UNDER PAYER POLICY"
GY,"ITEM OR SERVICE STATUTORILY EXCLUDED, DOES NOT MEET THE DEFINITION OF ANY MEDICARE BENEFIT OR, FOR NON-MEDICARE INSURERS, IS NOT A CONTRACT BENEFIT"
GZ,ITEM OR SERVICE EXPECTED TO BE DENIED AS NOT REASONABLE AND NECESSARY
H9,COURT-ORDERED
HA,CHILD/ADOLESCENT PROGRAM
HB,"ADULT PROGRAM, NON GERIATRIC"
HC,"ADULT PROGRAM, GERIATRIC"
HD,PREGNANT/PARENTING WOMEN'S PROGRAM
HE,MENTAL HEALTH PROGRAM
HF,SUBSTANCE ABUSE PROGRAM
HG,OPIOID ADDICTION TREATMENT PROGRAM
HH,INTEGRATED MENTAL HEALTH/SUBSTANCE ABUSE PROGRAM
HI,INTEGRATED MENTAL HEALTH AND INTELLECTUAL DISABILITY/DEVELOPMENTAL DISABILITIES PROGRAM
HJ,EMPLOYEE ASSISTANCE PROGRAM
HK,SPECIALIZED MENTAL HEALTH PROGRAMS FOR HIGH-RISK POPULATIONS
HL,INTERN
HM,LESS THAN BACHELOR DEGREE LEVEL
HN,BACHELORS DEGREE LEVEL
HO,MASTERS DEGREE LEVEL
HP,DOCTORAL LEVEL
HQ,GROUP SETTING
HR,FAMILY/COUPLE WITH CLIENT PRESENT
HS,FAMILY/COUPLE WITHOUT CLIENT PRESENT
HT,MULTI-DISCIPLINARY TEAM
HU,FUNDED BY CHILD WELFARE AGENCY
HV,FUNDED STATE ADDICTIONS AGENCY
HW,FUNDED BY STATE MENTAL HEALTH AGENCY
HX,FUNDED BY COUNTY/LOCAL AGENCY
HY,FUNDED BY JUVENILE JUSTICE AGENCY
HZ,FUNDED BY CRIMINAL JUSTICE AGENCY
J1,COMPETITIVE ACQUISITION PROGRAM NO-PAY SUBMISSION FOR A PRESCRIPTION NUMBER
J2,"COMPETITIVE ACQUISITION PROGRAM, RESTOCKING OF EMERGENCY DRUGS AFTER EMERGENCY ADMINISTRATION"
J3,"COMPETITIVE ACQUISITION PROGRAM (CAP), DRUG NOT AVAILABLE THROUGH CAP AS WRITTEN, REIMBURSED UNDER AVERAGE SALES PRICE METHODOLOGY"
J4,DMEPOS ITEM SUBJECT TO DMEPOS COMPETITIVE BIDDING PROGRAM THAT IS FURNISHED BY A HOSPITAL UPON DISCHARGE
J5,OFF-THE-SHELF ORTHOTIC SUBJECT TO DMEPOS COMPETITIVE BIDDING PROGRAM THAT IS FURNISHED AS PART OF A PHYSICAL THERAPIST OR OCCUPATIONAL THERAPIST PROFESSIONAL SERVICE
JA,ADMINISTERED INTRAVENOUSLY
JB,ADMINISTERED SUBCUTANEOUSLY
JC,SKIN SUBSTITUTE USED AS A GRAFT
JD,SKIN SUBSTITUTE NOT USED AS A GRAFT
JE,ADMINISTERED VIA DIALYSATE
JF,COMPOUNDED DRUG
JG,"DRUG OR BIOLOGICAL ACQUIRED WITH 340B DRUG PRICING PROGRAM DISCOUNT, REPORTED FOR INFORMATIONAL PURPOSES"
JK,ONE MONTH SUPPLY OR LESS OF DRUG OR BIOLOGICAL
JL,THREE MONTH SUPPLY OF DRUG OR BIOLOGICAL
JW,DRUG AMOUNT DISCARDED/NOT ADMINISTERED TO ANY PATIENT
JZ,ZERO DRUG AMOUNT DISCARDED/NOT ADMINISTERED TO ANY PATIENT
K0,LOWER EXTREMITY PROSTHESIS FUNCTIONAL LEVEL 0 - DOES NOT HAVE THE ABILITY OR POTENTIAL TO AMBULATE OR TRANSFER SAFELY WITH OR WITHOUT ASSISTANCE AND A PROSTHESIS DOES NOT ENHANCE THEIR QUALITY OF LIFE OR MOBILITY.
K1,LOWER EXTREMITY PROSTHESIS FUNCTIONAL LEVEL 1 - HAS THE ABILITY OR POTENTIAL TO USE A PROSTHESIS FOR TRANSFERS OR AMBULATION ON LEVEL SURFACES AT FIXED CADENCE. TYPICAL OF THE LIMITED AND UNLIMITED HOUSEHOLD AMBULATOR.
K2,"LOWER EXTREMITY PROSTHESIS FUNCTIONAL LEVEL 2 - HAS THE ABILITY OR POTENTIAL FOR AMBULATION WITH THE ABILITY TO TRAVERSE LOW LEVEL ENVIRONMENTAL BARRIERS SUCH AS CURBS, STAIRS OR UNEVEN SURFACES.  TYPICAL OF THE LIMITED COMMUNITY AMBULATOR."
K3,"LOWER EXTREMITY PROSTHESIS FUNCTIONAL LEVEL 3 - HAS THE ABILITY OR POTENTIAL FOR AMBULATION WITH VARIABLE CADENCE.  TYPICAL OF THE COMMUNITY AMBULATOR WHO HAS THE ABILITY TO TRANSVERSE MOST ENVIRONMENTAL BARRIERS AND MAY HAVE VOCATIONAL, THERAPEUTIC, OR EXERCISE ACTIVITY THAT DEMANDS PROSTHETIC UTILIZATION BEYOND SIMPLE LOCOMOTION."
