code,description
K4,"LOWER EXTREMITY PROSTHESIS FUNCTIONAL LEVEL 4 - HAS THE ABILITY OR POTENTIAL FOR PROSTHETIC AMBULATION THAT EXCEEDS THE BASIC AMBULATION SKILLS, EXHIBITING HIGH IMPACT, STRESS, OR ENERGY LEVELS, TYPICAL OF THE PROSTHETIC DEMANDS OF THE CHILD, ACTIVE ADULT, OR ATHLETE."
KA,ADD ON OPTION/ACCESSORY FOR WHEELCHAIR
KB,"BENEFICIARY REQUESTED UPGRADE FOR ABN, MORE THAN 4 MODIFIERS IDENTIFIED ON CLAIM"
KC,REPLACEMENT OF SPECIAL POWER WHEELCHAIR INTERFACE
KD,DRUG OR BIOLOGICAL INFUSED THROUGH DME
KE,BID UNDER ROUND ONE OF THE DMEPOS COMPETITIVE BIDDING PROGRAM FOR USE WITH NON-COMPETITIVE BID BASE EQUIPMENT
KF,ITEM DESIGNATED BY FDA AS CLASS III DEVICE
KG,DMEPOS ITEM SUBJECT TO DMEPOS COMPETITIVE BIDDING PROGRAM NUMBER 1
KH,"DMEPOS ITEM, INITIAL CLAIM, PURCHASE OR FIRST MONTH RENTAL"
KI,"DMEPOS ITEM, SECOND OR THIRD MONTH RENTAL"
KJ,"DMEPOS ITEM, PARENTERAL ENTERAL NUTRITION (PEN) PUMP OR CAPPED RENTAL, MONTHS FOUR TO FIFTEEN"
KK,DMEPOS ITEM SUBJECT TO DMEPOS COMPETITIVE BIDDING PROGRAM NUMBER 2
KL,DMEPOS ITEM DELIVERED VIA MAIL
KM,REPLACEMENT OF FACIAL PROSTHESIS INCLUDING NEW IMPRESSION/MOULAGE
KN,REPLACEMENT OF FACIAL PROSTHESIS USING PREVIOUS MASTER MODEL
KO,SINGLE DRUG UNIT DOSE FORMULATION
KP,FIRST DRUG OF A MULTIPLE DRUG UNIT DOSE FORMULATION
KQ,SECOND OR SUBSEQUENT DRUG OF A MULTIPLE DRUG UNIT DOSE FORMULATION
KR,"RENTAL ITEM, BILLING FOR PARTIAL MONTH"
KS,GLUCOSE MONITOR SUPPLY FOR DIABETIC BENEFICIARY NOT TREATED WITH INSULIN
KT,BENEFICIARY RESIDES IN A COMPETITIVE BIDDING AREA AND TRAVELS OUTSIDE THAT COMPETITIVE BIDDING AREA AND RECEIVES A COMPETITIVE BID ITEM
KU,DMEPOS ITEM SUBJECT TO DMEPOS COMPETITIVE BIDDING PROGRAM NUMBER 3
KV,DMEPOS ITEM SUBJECT TO DMEPOS COMPETITIVE BIDDING PROGRAM THAT IS FURNISHED AS PART OF A PROFESSIONAL SERVICE
KW,DMEPOS ITEM SUBJECT TO DMEPOS COMPETITIVE BIDDING PROGRAM NUMBER 4
KX,REQUIREMENTS SPECIFIED IN THE MEDICAL POLICY HAVE BEEN MET
KY,DMEPOS ITEM SUBJECT TO DMEPOS COMPETITIVE BIDDING PROGRAM NUMBER 5
KZ,NEW COVERAGE NOT IMPLEMENTED BY MANAGED CARE
L1,PROVIDER ATTESTATION THAT THE HOSPITAL LABORATORY TEST(S) IS NOT PACKAGED UNDER THE HOSPITAL OPPS
LC,LEFT CIRCUMFLEX CORONARY ARTERY
LD,LEFT ANTERIOR DESCENDING CORONARY ARTERY
LL,LEASE/RENTAL (USE THE 'LL' MODIFIER WHEN DME EQUIPMENT RENTAL IS TO BE APPLIED AGAINST THE PURCHASE PRICE)
LM,LEFT MAIN CORONARY ARTERY
LR,LABORATORY ROUND TRIP
LS,FDA-MONITORED INTRAOCULAR LENS IMPLANT
LT,LEFT SIDE (USED TO IDENTIFY PROCEDURES PERFORMED ON THE LEFT SIDE OF THE BODY)
LU,FRACTIONATED PAYMENT
M2,MEDICARE SECONDARY PAYER (MSP)
MA,ORDERING PROFESSIONAL IS NOT REQUIRED TO CONSULT A CLINICAL DECISION SUPPORT MECHANISM DUE TO SERVICE BEING RENDERED TO A PATIENT WITH A SUSPECTED OR CONFIRMED EMERGENCY MEDICAL CONDITION
MB,ORDERING PROFESSIONAL IS NOT REQUIRED TO CONSULT A CLINICAL DECISION SUPPORT MECHANISM DUE TO THE SIGNIFICANT HARDSHIP EXCEPTION OF INSUFFICIENT INTERNET ACCESS
MC,ORDERING PROFESSIONAL IS NOT REQUIRED TO CONSULT A CLINICAL DECISION SUPPORT MECHANISM DUE TO THE SIGNIFICANT HARDSHIP EXCEPTION OF ELECTRONIC HEALTH RECORD OR CLINICAL DECISION SUPPORT MECHANISM VENDOR ISSUES
MD,ORDERING PROFESSIONAL IS NOT REQUIRED TO CONSULT A CLINICAL DECISION SUPPORT MECHANISM DUE TO THE SIGNIFICANT HARDSHIP EXCEPTION OF EXTREME AND UNCONTROLLABLE CIRCUMSTANCES
ME,THE ORDER FOR THIS SERVICE ADHERES TO APPROPRIATE USE CRITERIA IN THE CLINICAL DECISION SUPPORT MECHANISM CONSULTED BY THE ORDERING PROFESSIONAL
MF,THE ORDER FOR THIS SERVICE DOES NOT ADHERE TO THE APPROPRIATE USE CRITERIA IN THE CLINICAL DECISION SUPPORT MECHANISM CONSULTED BY THE ORDERING PROFESSIONAL
MG,THE ORDER FOR THIS SERVICE DOES NOT HAVE APPLICABLE APPROPRIATE USE CRITERIA IN THE QUALIFIED CLINICAL DECISION SUPPORT MECHANISM CONSULTED BY THE ORDERING PROFESSIONAL
MH,"UNKNOWN IF ORDERING PROFESSIONAL CONSULTED A CLINICAL DECISION SUPPORT MECHANISM FOR THIS SERVICE, RELATED INFORMATION WAS NOT PROVIDED TO THE FURNISHING PROFESSIONAL OR PROVIDER"
MS,SIX MONTH MAINTENANCE AND SERVICING FEE FOR REASONABLE AND NECESSARY PARTS AND LABOR WHICH ARE NOT COVERED UNDER ANY MANUFACTURER OR SUPPLIER WARRANTY
N1,GROUP 1 OXYGEN COVERAGE CRITERIA MET
N2,GROUP 2 OXYGEN COVERAGE CRITERIA MET
N3,GROUP 3 OXYGEN COVERAGE CRITERIA MET
NB,"NEBULIZER SYSTEM, ANY TYPE, FDA-CLEARED FOR USE WITH SPECIFIC DRUG"
NR,NEW WHEN RENTED (USE THE 'NR' MODIFIER WHEN DME WHICH WAS NEW AT THE TIME OF RENTAL IS SUBSEQUENTLY PURCHASED)
NU,NEW EQUIPMENT
P1,A NORMAL HEALTHY PATIENT
P2,A PATIENT WITH MILD SYSTEMIC DISEASE
P3,A PATIENT WITH SEVERE SYSTEMIC DISEASE
P4,A PATIENT WITH SEVERE SYSTEMIC DISEASE THAT IS A CONSTANT THREAT TO LIFE
P5,A MORIBUND PATIENT WHO IS NOT EXPECTED TO SURVIVE WITHOUT THE OPERATION
P6,A DECLARED BRAIN-DEAD PATIENT WHOSE ORGANS ARE BEING REMOVED FOR DONOR PURPOSES
PA,SURGICAL OR OTHER INVASIVE PROCEDURE ON WRONG BODY PART
PB,SURGICAL OR OTHER INVASIVE PROCEDURE ON WRONG PATIENT
PC,WRONG SURGERY OR OTHER INVASIVE PROCEDURE ON PATIENT
PD,DIAGNOSTIC OR RELATED NON DIAGNOSTIC ITEM OR SERVICE PROVIDED IN A WHOLLY OWNED OR OPERATED ENTITY TO A PATIENT WHO IS ADMITTED AS AN INPATIENT WITHIN 3 DAYS
PI,POSITRON EMISSION TOMOGRAPHY (PET) OR PET/COMPUTED TOMOGRAPHY (CT) TO INFORM THE INITIAL TREATMENT STRATEGY OF TUMORS THAT ARE BIOPSY PROVEN OR STRONGLY SUSPECTED OF BEING CANCEROUS BASED ON OTHER DIAGNOSTIC TESTING
PL,PROGRESSIVE ADDITION LENSES
PM,POST MORTEM
PN,"NON-EXCEPTED SERVICE PROVIDED AT AN OFF-CAMPUS, OUTPATIENT, PROVIDER-BASED DEPARTMENT OF A HOSPITAL"
PO,"EXCEPTED SERVICE PROVIDED AT AN OFF-CAMPUS, OUTPATIENT, PROVIDER-BASED DEPARTMENT OF A HOSPITAL"
PS,POSITRON EMISSION TOMOGRAPHY (PET) OR PET/COMPUTED TOMOGRAPHY (CT) TO INFORM THE SUBSEQUENT TREATMENT STRATEGY OF CANCEROUS TUMORS WHEN THE BENEFICIARY'S TREATING PHYSICIAN DETERMINES THAT THE PET STUDY IS NEEDED TO INFORM SUBSEQUENT ANTI-TUMOR STRATEGY
PT,COLORECTAL CANCER SCREENING TEST; CONVERTED TO DIAGNOSTIC TEST OR OTHER PROCEDURE
Q0,INVESTIGATIONAL CLINICAL SERVICE PROVIDED IN A CLINICAL RESEARCH STUDY THAT IS IN AN APPROVED CLINICAL RESEARCH STUDY
Q1,ROUTINE CLINICAL SERVICE PROVIDED IN A CLINICAL RESEARCH STUDY THAT IS IN AN APPROVED CLINICAL RESEARCH STUDY
Q2,DEMONSTRATION PROCEDURE/SERVICE
Q3,LIVE KIDNEY DONOR SURGERY AND RELATED SERVICES
Q4,SERVICE FOR ORDERING/REFERRING PHYSICIAN QUALIFIES AS A SERVICE EXEMPTION
Q5,"SERVICE FURNISHED UNDER A RECIPROCAL BILLING ARRANGEMENT BY A SUBSTITUTE PHYSICIAN OR BY A SUBSTITUTE PHYSICAL THERAPIST FURNISHING OUTPATIENT PHYSICAL THERAPY SERVICES IN A HEALTH PROFESSIONAL SHORTAGE AREA, A MEDICALLY UNDERSERVED AREA, OR A RURAL AREA"
Q6,"SERVICE FURNISHED UNDER A FEE-FOR-TIME COMPENSATION ARRANGEMENT BY A SUBSTITUTE PHYSICIAN OR BY A SUBSTITUTE PHYSICAL THERAPIST FURNISHING OUTPATIENT PHYSICAL THERAPY SERVICES IN A HEALTH PROFESSIONAL SHORTAGE AREA, A MEDICALLY UNDERSERVED AREA, OR A RURAL AREA"
Q7,ONE CLASS A FINDING
Q8,TWO CLASS B FINDINGS
Q9,ONE CLASS B AND TWO CLASS C FINDINGS
QA,PRESCRIBED AMOUNTS OF STATIONARY OXYGEN FOR DAYTIME USE WHILE AT REST AND NIGHTTIME USE DIFFER AND THE AVERAGE OF THE TWO AMOUNTS IS LESS THAN 1 LITER PER MINUTE (LPM)
QB,PRESCRIBED AMOUNTS OF STATIONARY OXYGEN FOR DAYTIME USE WHILE AT REST AND NIGHTTIME USE DIFFER AND THE AVERAGE OF THE TWO AMOUNTS EXCEEDS 4 LITERS PER MINUTE (LPM) AND PORTABLE OXYGEN IS PRESCRIBED
QC,SINGLE CHANNEL MONITORING
QD,RECORDING AND STORAGE IN SOLID STATE MEMORY BY A DIGITAL RECORDER
QE,PRESCRIBED AMOUNT OF STATIONARY OXYGEN WHILE AT REST IS LESS THAN 1 LITER PER MINUTE (LPM)
QF,PRESCRIBED AMOUNT OF STATIONARY OXYGEN WHILE AT REST EXCEEDS 4 LITERS PER MINUTE (LPM) AND PORTABLE OXYGEN IS PRESCRIBED
QG,PRESCRIBED AMOUNT OF STATIONARY OXYGEN WHILE AT REST IS GREATER THAN 4 LITERS PER MINUTE (LPM)
QH,OXYGEN CONSERVING DEVICE IS BEING USED WITH AN OXYGEN DELIVERY SYSTEM
QJ,"SERVICES/ITEMS PROVIDED TO A PRISONER OR PATIENT IN STATE OR LOCAL CUSTODY, HOWEVER THE STATE OR LOCAL GOVERNMENT, AS APPLICABLE, MEETS THE REQUIREMENTS IN 42 CFR 411.4 (B)"
QK,"MEDICAL DIRECTION OF TWO, THREE, OR FOUR CONCURRENT ANESTHESIA PROCEDURES INVOLVING QUALIFIED INDIVIDUALS"
QL,PATIENT PRONOUNCED DEAD AFTER AMBULANCE CALLED
QM,AMBULANCE SERVICE PROVIDED UNDER ARRANGEMENT BY A PROVIDER OF SERVICES
QN,AMBULANCE SERVICE FURNISHED DIRECTLY BY A PROVIDER OF SERVICES
QP,"DOCUMENTATION IS ON FILE SHOWING THAT THE LABORATORY TEST(S) WAS ORDERED INDIVIDUALLY OR ORDERED AS A CPT-RECOGNIZED PANEL OTHER THAN AUTOMATED PROFILE CODES 80002-80019, G0058, G0059, AND G0060."
QQ,ORDERING PROFESSIONAL CONSULTED A QUALIFIED CLINICAL DECISION SUPPORT MECHANISM FOR THIS SERVICE AND THE RELATED DATA WAS PROVIDED TO THE FURNISHING PROFESSIONAL
QR,PRESCRIBED AMOUNTS OF STATIONARY OXYGEN FOR DAYTIME USE WHILE AT REST AND NIGHTTIME USE DIFFER AND THE AVERAGE OF THE TWO AMOUNTS IS GREATER THAN 4 LITERS PER MINUTE (LPM)
QS,MONITORED ANESTHESIA CARE SERVICE
QT,RECORDING AND STORAGE ON TAPE BY AN ANALOG TAPE RECORDER
QW,CLIA WAIVED TEST
QX,CRNA SERVICE: WITH MEDICAL DIRECTION BY A PHYSICIAN
QY,MEDICAL DIRECTION OF ONE CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA) BY AN ANESTHESIOLOGIST
QZ,CRNA SERVICE: WITHOUT MEDICAL DIRECTION BY A PHYSICIAN
RA,"REPLACEMENT OF A DME, ORTHOTIC OR PROSTHETIC ITEM"
RB,"REPLACEMENT OF A PART OF A DME, ORTHOTIC OR PROSTHETIC ITEM FURNISHED AS PART OF A REPAIR"
RC,RIGHT CORONARY ARTERY
RD,"DRUG PROVIDED TO BENEFICIARY, BUT NOT ADMINISTERED ""INCIDENT-TO"""
RE,FURNISHED IN FULL COMPLIANCE WITH FDA-MANDATED RISK EVALUATION AND MITIGATION STRATEGY (REMS)
RI,RAMUS INTERMEDIUS CORONARY ARTERY
RR,RENTAL (USE THE 'RR' MODIFIER WHEN DME IS TO BE RENTED)
RT,RIGHT SIDE (USED TO IDENTIFY PROCEDURES PERFORMED ON THE RIGHT SIDE OF THE BODY)
SA,NURSE PRACTITIONER RENDERING SERVICE IN COLLABORATION WITH A PHYSICIAN
SB,NURSE MIDWIFE
SC,MEDICALLY NECESSARY SERVICE OR SUPPLY
SD,"SERVICES PROVIDED BY REGISTERED NURSE WITH SPECIALIZED, HIGHLY TECHNICAL HOME INFUSION TRAINING"
SE,STATE AND/OR FEDERALLY-FUNDED PROGRAMS/SERVICES
SF,"SECOND OPINION ORDERED BY A PROFESSIONAL REVIEW ORGANIZATION (PRO) PER SECTION 9401, P.L. 99-272 (100% REIMBURSEMENT - NO MEDICARE DEDUCTIBLE OR COINSURANCE)"
SG,AMBULATORY SURGICAL CENTER (ASC) FACILITY SERVICE
SH,SECOND CONCURRENTLY ADMINISTERED INFUSION THERAPY
SJ,THIRD OR MORE CONCURRENTLY ADMINISTERED INFUSION THERAPY
SK,MEMBER OF HIGH RISK POPULATION (USE ONLY WITH CODES FOR IMMUNIZATION)
SL,STATE SUPPLIED VACCINE
SM,SECOND SURGICAL OPINION
SN,THIRD SURGICAL OPINION
SQ,ITEM ORDERED BY HOME HEALTH
SS,HOME INFUSION SERVICES PROVIDED IN THE INFUSION SUITE OF THE IV THERAPY PROVIDER
ST,RELATED TO TRAUMA OR INJURY
SU,PROCEDURE PERFORMED IN PHYSICIAN'S OFFICE (TO DENOTE USE OF FACILITY AND EQUIPMENT)
SV,PHARMACEUTICALS DELIVERED TO PATIENT'S HOME BUT NOT UTILIZED
SW,SERVICES PROVIDED BY A CERTIFIED DIABETIC EDUCATOR
SY,PERSONS WHO ARE IN CLOSE CONTACT WITH MEMBER OF HIGH-RISK POPULATION (USE ONLY WITH CODES FOR IMMUNIZATION)
SZ,HABILITATIVE SERVICES
T1,"LEFT FOOT, SECOND DIGIT"
T2,"LEFT FOOT, THIRD DIGIT"
T3,"LEFT FOOT, FOURTH DIGIT"
T4,"LEFT FOOT, FIFTH DIGIT"
T5,"RIGHT FOOT, GREAT TOE"
T6,"RIGHT FOOT, SECOND DIGIT"
T7,"RIGHT FOOT, THIRD DIGIT"
T8,"RIGHT FOOT, FOURTH DIGIT"
T9,"RIGHT FOOT, FIFTH DIGIT"
TA,"LEFT FOOT, GREAT TOE"
TB,"DRUG OR BIOLOGICAL ACQUIRED WITH 340B DRUG PRICING PROGRAM DISCOUNT, REPORTED FOR INFORMATIONAL PURPOSES"
TC,"TECHNICAL COMPONENT; UNDER CERTAIN CIRCUMSTANCES, A CHARGE MAY BE MADE FOR THE TECHNICAL COMPONENT ALONE;  UNDER THOSE CIRCUMSTANCES THE TECHNICAL COMPONENT CHARGE IS IDENTIFIED BY ADDING MODIFIER 'TC' TO THE USUAL PROCEDURE NUMBER; TECHNICAL COMPONENT CHARGES ARE INSTITUTIONAL CHARGES AND NOT BILLED SEPARATELY BY PHYSICIANS; HOWEVER, PORTABLE X-RAY SUPPLIERS ONLY BILL FOR TECHNICAL COMPONENT AND SHOULD UTILIZE MODIFIER TC; THE CHARGE DATA FROM PORTABLE X-RAY SUPPLIERS WILL THEN BE USED TO BUILD CUSTOMARY AND PREVAILING PROFILES"
TD,RN
TE,LPN/LVN
TF,INTERMEDIATE LEVEL OF CARE
TG,COMPLEX/HIGH TECH LEVEL OF CARE
TH,"OBSTETRICAL TREATMENT/SERVICES, PRENATAL OR POSTPARTUM"
TJ,"PROGRAM GROUP, CHILD AND/OR ADOLESCENT"
TK,"EXTRA PATIENT OR PASSENGER, NON-AMBULANCE"
TL,EARLY INTERVENTION/INDIVIDUALIZED FAMILY SERVICE PLAN (IFSP)
TM,INDIVIDUALIZED EDUCATION PROGRAM (IEP)
TN,RURAL/OUTSIDE PROVIDERS' CUSTOMARY SERVICE AREA
TP,"MEDICAL TRANSPORT, UNLOADED VEHICLE"
TQ,BASIC LIFE SUPPORT TRANSPORT BY A VOLUNTEER AMBULANCE PROVIDER
TR,SCHOOL-BASED INDIVIDUALIZED EDUCATION PROGRAM (IEP) SERVICES PROVIDED OUTSIDE THE PUBLIC SCHOOL DISTRICT RESPONSIBLE FOR THE STUDENT
TS,FOLLOW-UP SERVICE
TT,INDIVIDUALIZED SERVICE PROVIDED TO MORE THAN ONE PATIENT IN SAME SETTING
TU,"SPECIAL PAYMENT RATE, OVERTIME"
TV,"SPECIAL PAYMENT RATES, HOLIDAYS/WEEKENDS"
TW,BACK-UP EQUIPMENT
U1,"MEDICAID LEVEL OF CARE 1, AS DEFINED BY EACH STATE"
U2,"MEDICAID LEVEL OF CARE 2, AS DEFINED BY EACH STATE"
U3,"MEDICAID LEVEL OF CARE 3, AS DEFINED BY EACH STATE"
U4,"MEDICAID LEVEL OF CARE 4, AS DEFINED BY EACH STATE"
U5,"MEDICAID LEVEL OF CARE 5, AS DEFINED BY EACH STATE"
U6,"MEDICAID LEVEL OF CARE 6, AS DEFINED BY EACH STATE"
U7,"MEDICAID LEVEL OF CARE 7, AS DEFINED BY EACH STATE"
U8,"MEDICAID LEVEL OF CARE 8, AS DEFINED BY EACH STATE"
U9,"MEDICAID LEVEL OF CARE 9, AS DEFINED BY EACH STATE"
UA,"MEDICAID LEVEL OF CARE 10, AS DEFINED BY EACH STATE"
UB,"MEDICAID LEVEL OF CARE 11, AS DEFINED BY EACH STATE"
UC,"MEDICAID LEVEL OF CARE 12, AS DEFINED BY EACH STATE"
UD,"MEDICAID LEVEL OF CARE 13, AS DEFINED BY EACH STATE"
UE,USED DURABLE MEDICAL EQUIPMENT
UF,SERVICES PROVIDED IN THE MORNING
UG,SERVICES PROVIDED IN THE AFTERNOON
UH,SERVICES PROVIDED IN THE EVENING
UJ,SERVICES PROVIDED AT NIGHT
UK,SERVICES PROVIDED ON BEHALF OF THE CLIENT TO SOMEONE OTHER THAN THE CLIENT (COLLATERAL RELATIONSHIP)
UN,TWO PATIENTS SERVED
UP,THREE PATIENTS SERVED
UQ,FOUR PATIENTS SERVED
UR,FIVE PATIENTS SERVED
US,SIX OR MORE PATIENTS SERVED
V1,DEMONSTRATION MODIFIER 1
V2,DEMONSTRATION MODIFIER 2
V3,DEMONSTRATION MODIFIER 3
V4,DEMONSTRATION MODIFIER 4
V5,VASCULAR CATHETER (ALONE OR WITH ANY OTHER VASCULAR ACCESS)
V6,ARTERIOVENOUS GRAFT (OR OTHER VASCULAR ACCESS NOT INCLUDING A VASCULAR CATHETER)
V7,ARTERIOVENOUS FISTULA ONLY (IN USE WITH TWO NEEDLES)
V8,INFECTION PRESENT
V9,NO INFECTION PRESENT
VM,MEDICARE DIABETES PREVENTION PROGRAM (MDPP) VIRTUAL MAKE-UP SESSION
VP,APHAKIC PATIENT
X1,"CONTINUOUS/BROAD SERVICES: FOR REPORTING SERVICES BY CLINICIANS, WHO PROVIDE THE PRINCIPAL CARE FOR A PATIENT, WITH NO PLANNED ENDPOINT OF THE RELATIONSHIP; SERVICES IN THIS CATEGORY REPRESENT COMPREHENSIVE CARE, DEALING WITH THE ENTIRE SCOPE OF PATIENT PROBLEMS, EITHER DIRECTLY OR IN A CARE COORDINATION ROLE; REPORTING CLINICIAN SERVICE EXAMPLES INCLUDE, BUT ARE NOT LIMITED TO: PRIMARY CARE, AND CLINICIANS PROVIDING COMPREHENSIVE CARE TO PATIENTS IN ADDITION TO SPECIALTY CARE"
X2,CONTINUOUS/FOCUSED SERVICES: FOR REPORTING SERVICES BY CLINICIANS WHOSE EXPERTISE IS NEEDED FOR THE ONGOING MANAGEMENT OF A CHRONIC DISEASE OR A CONDITION THAT NEEDS TO BE MANAGED AND FOLLOWED WITH NO PLANNED ENDPOINT TO THE RELATIONSHIP; REPORTING CLINICIAN SERVICE EXAMPLES INCLUDE BUT ARE NOT LIMITED TO: A RHEUMATOLOGIST TAKING CARE OF THE PATIENT'S RHEUMATOID ARTHRITIS LONGITUDINALLY BUT NOT PROVIDING GENERAL PRIMARY CARE SERVICES
X3,EPISODIC/BROAD SERVICES: FOR REPORTING SERVICES BY CLINICIANS WHO HAVE BROAD RESPONSIBILITY FOR THE COMPREHENSIVE NEEDS OF THE PATIENT THAT IS LIMITED TO A DEFINED PERIOD AND CIRCUMSTANCE SUCH AS A HOSPITALIZATION; REPORTING CLINICIAN SERVICE EXAMPLES INCLUDE BUT ARE NOT LIMITED TO THE HOSPITALIST'S SERVICES RENDERED PROVIDING COMPREHENSIVE AND GENERAL CARE TO A PATIENT WHILE ADMITTED TO THE HOSPITAL
X4,"EPISODIC/FOCUSED SERVICES: FOR REPORTING SERVICES BY CLINICIANS WHO PROVIDE FOCUSED CARE ON PARTICULAR TYPES OF TREATMENT LIMITED TO A DEFINED PERIOD AND CIRCUMSTANCE; THE PATIENT HAS A PROBLEM, ACUTE OR CHRONIC, THAT WILL BE TREATED WITH SURGERY, RADIATION, OR SOME OTHER TYPE OF GENERALLY TIME-LIMITED INTERVENTION; REPORTING CLINICIAN SERVICE EXAMPLES INCLUDE BUT ARE NOT LIMITED TO, THE ORTHOPEDIC SURGEON PERFORMING A KNEE REPLACEMENT AND SEEING THE PATIENT THROUGH THE POSTOPERATIVE PERIOD"
X5,"DIAGNOSTIC SERVICES REQUESTED BY ANOTHER CLINICIAN: FOR REPORTING SERVICES BY A CLINICIAN WHO FURNISHES CARE TO THE PATIENT ONLY AS REQUESTED BY ANOTHER CLINICIAN OR SUBSEQUENT AND RELATED SERVICES REQUESTED BY ANOTHER CLINICIAN; THIS MODIFIER IS REPORTED FOR PATIENT RELATIONSHIPS THAT MAY NOT BE ADEQUATELY CAPTURED BY THE ABOVE ALTERNATIVE CATEGORIES; REPORTING CLINICIAN SERVICE EXAMPLES INCLUDE BUT ARE NOT LIMITED TO, THE RADIOLOGIST'S INTERPRETATION OF AN IMAGING STUDY REQUESTED BY ANOTHER CLINICIAN"
XE,"SEPARATE ENCOUNTER, A SERVICE THAT IS DISTINCT BECAUSE IT OCCURRED DURING A SEPARATE ENCOUNTER"
XP,"SEPARATE PRACTITIONER, A SERVICE THAT IS DISTINCT BECAUSE IT WAS PERFORMED BY A DIFFERENT PRACTITIONER"
XS,"SEPARATE STRUCTURE, A SERVICE THAT IS DISTINCT BECAUSE IT WAS PERFORMED ON A SEPARATE ORGAN/STRUCTURE"
XU,"UNUSUAL NON-OVERLAPPING SERVICE, THE USE OF A SERVICE THAT IS DISTINCT BECAUSE IT DOES NOT OVERLAP USUAL COMPONENTS OF THE MAIN SERVICE"
ZA,NOVARTIS/SANDOZ
ZB,PFIZER/HOSPIRA
ZC,MERCK/SAMSUNG BIOEPIS
